13                                                                                                  ,Sauron                                                                                              ,JACKSON                                                                                             ,           55,            11,          30,male                                                                                                ,Helm's Deep                                                                                         ,Rohan                                                                                               ,Middle Earth                                                                                        ,Rivendell                                                                                           ,Rivendell                                                                                           ,Middle Earth                                                                                        ,Yale University                                                                                     ,        1859,The Art of Fun-Having                                                                               ,MS
18                                                                                                  ,Hangvul                                                                                             ,DAVIS                                                                                               ,          154,             3,           5,female                                                                                              ,Bucklebury                                                                                          ,The Shire                                                                                           ,Middle Earth                                                                                        ,Isengard                                                                                            ,Rohan                                                                                               ,Middle Earth                                                                                        ,Dartmouth College                                                                                   ,        1940,Baby Stylist                                                                                        ,MS
18                                                                                                  ,Hangvul                                                                                             ,DAVIS                                                                                               ,          154,             3,           5,female                                                                                              ,Bucklebury                                                                                          ,The Shire                                                                                           ,Middle Earth                                                                                        ,Isengard                                                                                            ,Rohan                                                                                               ,Middle Earth                                                                                        ,Columbia University                                                                                 ,        1898,Physics                                                                                             ,MSE
19                                                                                                  ,Shadya                                                                                              ,JONES                                                                                               ,          382,             4,          10,female                                                                                              ,Caras Galadhon                                                                                      ,Lothlorien                                                                                          ,Middle Earth                                                                                        ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,Dartmouth College                                                                                   ,        1892,Material Science                                                                                    ,BA
19                                                                                                  ,Shadya                                                                                              ,JONES                                                                                               ,          382,             4,          10,female                                                                                              ,Caras Galadhon                                                                                      ,Lothlorien                                                                                          ,Middle Earth                                                                                        ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,Brown University                                                                                    ,        1832,BME                                                                                                 ,MA
19                                                                                                  ,Shadya                                                                                              ,JONES                                                                                               ,          382,             4,          10,female                                                                                              ,Caras Galadhon                                                                                      ,Lothlorien                                                                                          ,Middle Earth                                                                                        ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,Dartmouth College                                                                                   ,        1899,Physics                                                                                             ,MSE
19                                                                                                  ,Shadya                                                                                              ,JONES                                                                                               ,          382,             4,          10,female                                                                                              ,Caras Galadhon                                                                                      ,Lothlorien                                                                                          ,Middle Earth                                                                                        ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,Cornell University                                                                                  ,        1976,ChemE                                                                                               ,BS
20                                                                                                  ,Freyda                                                                                              ,THOMPSON                                                                                            ,          901,            12,          18,female                                                                                              ,Rivendell                                                                                           ,Rivendell                                                                                           ,Middle Earth                                                                                        ,Caras Galadhon                                                                                      ,Lothlorien                                                                                          ,Middle Earth                                                                                        ,                                                                                                    ,            ,                                                                                                    ,
21                                                                                                  ,Agrael                                                                                              ,ANDERSON                                                                                            ,          941,             6,          19,male                                                                                                ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,Calembel                                                                                            ,Gondor                                                                                              ,Middle Earth                                                                                        ,Harvard University                                                                                  ,        1954,BME                                                                                                 ,MA
21                                                                                                  ,Agrael                                                                                              ,ANDERSON                                                                                            ,          941,             6,          19,male                                                                                                ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,Calembel                                                                                            ,Gondor                                                                                              ,Middle Earth                                                                                        ,Harvard University                                                                                  ,        1972,ChemE                                                                                               ,BA
22                                                                                                  ,Elrond                                                                                              ,WILLIAMS                                                                                            ,            7,            11,          13,male                                                                                                ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Helm's Deep                                                                                         ,Rohan                                                                                               ,Middle Earth                                                                                        ,                                                                                                    ,            ,                                                                                                    ,
23                                                                                                  ,Denethor                                                                                            ,MILLER                                                                                              ,          311,             6,           6,male                                                                                                ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Bucklebury                                                                                          ,The Shire                                                                                           ,Middle Earth                                                                                        ,Yale University                                                                                     ,        1883,Baby Stylist                                                                                        ,BS
23                                                                                                  ,Denethor                                                                                            ,MILLER                                                                                              ,          311,             6,           6,male                                                                                                ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Bucklebury                                                                                          ,The Shire                                                                                           ,Middle Earth                                                                                        ,Dartmouth College                                                                                   ,        1864,ECE                                                                                                 ,MSE
23                                                                                                  ,Denethor                                                                                            ,MILLER                                                                                              ,          311,             6,           6,male                                                                                                ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Bucklebury                                                                                          ,The Shire                                                                                           ,Middle Earth                                                                                        ,Yale University                                                                                     ,        1878,Cell Biology                                                                                        ,MA
23                                                                                                  ,Denethor                                                                                            ,MILLER                                                                                              ,          311,             6,           6,male                                                                                                ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Bucklebury                                                                                          ,The Shire                                                                                           ,Middle Earth                                                                                        ,Cornell University                                                                                  ,        1933,Microbiology                                                                                        ,BA
24                                                                                                  ,Isabel                                                                                              ,JACKSON                                                                                             ,          169,             4,          18,female                                                                                              ,Caras Galadhon                                                                                      ,Lothlorien                                                                                          ,Middle Earth                                                                                        ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,                                                                                                    ,            ,                                                                                                    ,
25                                                                                                  ,Kujin                                                                                               ,MARTIN                                                                                              ,          181,             7,          29,female                                                                                              ,Isengard                                                                                            ,Rohan                                                                                               ,Middle Earth                                                                                        ,Isengard                                                                                            ,Rohan                                                                                               ,Middle Earth                                                                                        ,Harvard University                                                                                  ,        1908,CSE                                                                                                 ,MA
25                                                                                                  ,Kujin                                                                                               ,MARTIN                                                                                              ,          181,             7,          29,female                                                                                              ,Isengard                                                                                            ,Rohan                                                                                               ,Middle Earth                                                                                        ,Isengard                                                                                            ,Rohan                                                                                               ,Middle Earth                                                                                        ,University of Pennsylvania                                                                          ,        1979,ChemE                                                                                               ,MSE
25                                                                                                  ,Kujin                                                                                               ,MARTIN                                                                                              ,          181,             7,          29,female                                                                                              ,Isengard                                                                                            ,Rohan                                                                                               ,Middle Earth                                                                                        ,Isengard                                                                                            ,Rohan                                                                                               ,Middle Earth                                                                                        ,Yale University                                                                                     ,        1991,Microbiology                                                                                        ,BA
26                                                                                                  ,Faramir                                                                                             ,JONES                                                                                               ,          408,             7,          10,male                                                                                                ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Columbia University                                                                                 ,        1995,The Art of Fun-Having                                                                               ,MSE
26                                                                                                  ,Faramir                                                                                             ,JONES                                                                                               ,          408,             7,          10,male                                                                                                ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,University of Pennsylvania                                                                          ,        1950,Cell Biology                                                                                        ,MS
26                                                                                                  ,Faramir                                                                                             ,JONES                                                                                               ,          408,             7,          10,male                                                                                                ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Yale University                                                                                     ,        1928,Plant Biology                                                                                       ,MA
26                                                                                                  ,Faramir                                                                                             ,JONES                                                                                               ,          408,             7,          10,male                                                                                                ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Columbia University                                                                                 ,        1831,Microbiology                                                                                        ,MSE
27                                                                                                  ,Ashley                                                                                              ,JACKSON                                                                                             ,          720,             2,          15,female                                                                                              ,Pelargir                                                                                            ,Gondor                                                                                              ,Middle Earth                                                                                        ,Bucklebury                                                                                          ,The Shire                                                                                           ,Middle Earth                                                                                        ,Dartmouth College                                                                                   ,        1919,EE                                                                                                  ,MS
27                                                                                                  ,Ashley                                                                                              ,JACKSON                                                                                             ,          720,             2,          15,female                                                                                              ,Pelargir                                                                                            ,Gondor                                                                                              ,Middle Earth                                                                                        ,Bucklebury                                                                                          ,The Shire                                                                                           ,Middle Earth                                                                                        ,Columbia University                                                                                 ,        1913,Material Science                                                                                    ,MA
27                                                                                                  ,Ashley                                                                                              ,JACKSON                                                                                             ,          720,             2,          15,female                                                                                              ,Pelargir                                                                                            ,Gondor                                                                                              ,Middle Earth                                                                                        ,Bucklebury                                                                                          ,The Shire                                                                                           ,Middle Earth                                                                                        ,University of Pennsylvania                                                                          ,        1943,ChemE                                                                                               ,MA
